
    *** List of Bullets and Cartridges *** 
--------------------------------------------------
                  Jan Krcmar 
 

 Caliber [mm]  B.C. Drag   Weight [g]  Velocity [m/s]  Barrel [cm]  Notice 
-----------------------------------------------------------------------------------------$
 5,70       0,123    G1       2,9          715           60 22 HORNET S&B 45 gr. FMJ 2901
 5,70       0,123    G1       2,9          715           60 22 HORNET S&B 45 gr. SP 2911
 5,70       0,241    G1       3,24          966           60 222 REM. S&B 50 gr. FMJ 2902
 5,70       0,175    G1       3,24          980           60 222 REM. S&B 50 gr. SP 2913
 5,70       0,250    G1       3,6          1006           60 223 REM. S&B 56 gr. FMJ 2903
 5,70       0,250    G1       3,6          1006           60 223 REM. S&B 56 gr. SP 2914
 5,70       0,233    G1       3,24          1050           60 5.6 x 50 R MAGNUM S&B 50 gr. FMJ 2902
 5,70       0,171    G1       3,24          1050           60 5.6 x 50 R MAGNUM S&B 50 gr. SP 2913
 5,70       0,257    G1       4,6          872           60 5.6 x 52 R S&B 71 gr. FMJ 2904
 5,70       0,257    G1       4,6          872           60 5.6 x 52 R S&B 71 gr. SP 2915
 6,17       0,233    G1       6,5          885           60 243 WIN. S&B 100 gr. SP 2921
 6,58       0,213    G1       7,6          673           60 6.5 x 52 R S&B 117 gr. SP 2925
 6,71       0,332    G1       8,5          793           60 6.5 x 55 SE S&B 131 gr. SP 2923
 6,71       0,330    G1       9,1          814           60 6.5 x 55 SE S&B 140 gr. SP 2928
 6,71       0,460    G1       9,1          787           60 6.5 x 55 SE S&B 140 gr. FMJ 2905
 6,70       0,344    G1       8,5          775           60 6.5 x 57 S&B 131 gr. SP 2923
 6,71       0,344    G1       8,5          775           60 6.5 x 57 R S&B 131 gr. SP 2923
 7,06       0,372    G1       9,7          800           60 270 WIN. S&B 150 gr. SP 2927
 7,25       0,276    G1       9          808           60 7 x 57 S&B 139 gr. SP 2931
 7,25       0,308    G1       11,2          725           60 7 x 57 S&B 173 gr. SPCE 2932
 7,25       0,410    G1       10,2          757           60 7 x 57 S&B 157 gr. HPC 2981
 7,25       0,411    G1       9,1          799           60 7 x 57 S&B 140 gr. FMJ 2955
 7,25       0,276    G1       9          808           60 7 x 57 R S&B 139 gr. SP 2931
 7,25       0,308    G1       11,2          725           60 7 x 57 R S&B 173 gr. SPCE 2932
 7,25       0,410    G1       10,2          757           60 7 x 57 R S&B 157 gr. HPC 2981
 7,25       0,411    G1       9          799           60 7 x 57 R S&B 139 gr. FMJ 2955
