# Time        X             Y             Z             vX            vY            vZ            dt            Distance      Range         HeatKJ
0             0             0             0             1175          2.05076       0             0             0             0             0            
0.05          58.7499       0.0902905     0             1163.47       1.54555       0             0.05          58.75         58.7499       13.4744      
0.1           116.924       0.155321      0             1152.13       1.04536       0             0.05          116.924       116.924       26.6078      
0.15          174.53        0.195341      0             1140.94       0.550065      0             0.05          174.53        174.53        39.4343      
0.2           231.577       0.210597      0             1129.89       0.0595811     0             0.05          231.577       231.577       51.9836      
0.25          288.072       0.201328      0             1118.95       -0.426154     0             0.05          288.072       288.072       64.2809      
0.3           344.02        0.167773      0             1108.12       -0.907183     0             0.05          344.02        344.02        76.3481      
0.35          399.425       0.110166      0             1097.37       -1.38353      0             0.05          399.426       399.425       88.2043      
0.4           454.294       0.0287424     0             1086.69       -1.8552       0             0.05          454.294       454.294       99.8656      
0.422259      478.482       -0.0180048    0             1081.97       -2.06312      0             0.022259      478.483       478.482       104.977      

