{
V      Max
------------
1175   10500
200    3000
}

#V      Angle    Fall     topH    topR     Time    Vf 
#----------------------------------------------------------
#715    0.083    0.066    0.03    51       0.15    623

#V      R      Angle    Fall     topH    topR     Time    Vf 
#----------------------------------------------------------
#715    100    0.083    0.066    0.03    51       0.15    623

#V      R      Angle    Fall     topH    topR     Time    Vf
#----------------------------------------------------------
#715    100    60       60       800.03    51       80.15    123

# AK47 mass=7.9g V=715

# minutes to degree table
{
deg	min	min-2	deg
0	7	5	0.083333333
0	11	9	0.15
0	16	14	0.233333333
0	22	20	0.333333333
0	31	29	0.483333333
0	42	40	0.666666667
0	54	52	0.866666667
1	8	6	1.1
0		4	0.066666667
0		9	0.15
0		18	0.3
0		31	0.516666667
0		48	0.8
1		9	1.15
1		35	1.583333333
2		6	2.1
}

{
R      Angle    Fall     topH    topR     Time    Vf
-----------------------------------------------------
100    0.0833   0.0667   0.03    51       0.15    623
200    0.1500   0.1500   0.13    105      0.32    537
300    0.2333   0.3000   0.34    162      0.52    459
400    0.3333   0.5167   0.71    221      0.76    391
500    0.4833   0.8000   1.3     282      1.04    334
600    0.6667   1.1500   2.3     344      1.35    304
700    0.9667   1.5833   3.7     406      1.69    284
800    1.1000   2.1000   5.5     468      2.05    266
}

{
# 155 mm M107
V      Max
------------
207.3  3900
234.7  4800
268.2  6100
310.9  7800
371.9  9700
}

{
# M3A1 M4A2
# M107 & M107 ERFB-HE
V     Max
----------
207.3 3900
234.7 4800 
237.7 5000
274.3 6300
277.4 6500 
292.6 7200
317.0 8000 
318.5 8300
336.8 8500
374.9 9800 
393.2 10300
463.3 12000 
475.5 12400 
563.9 14600 
565.4 14800 
684.3 18100 
}

{
# M119A1 & M203
465.0 12700
552.7 15700
671.5 20100
785.0 24600
}

{
# M795 PD M739A1 MV 247 m/s
R AngMil Fuse DFS DR FORK Time AZ_drift AZ_CW
-----------------------------------
100 8.2 0 0 12 1 0.4 0.2 0.00
200 16.4 0 0 12 1 0.8 0.3 0.01
300 24.6 0 0 12 1 1.2 0.5 0.01
400 32.9 1.6 1.26 12 1 1.6 0.6 0.02
500 41.3 2.0 1.01 12 1 2.0 0.8 0.02
600 49.7 2.5 0.84 12 1 2.5 1.0 0.03
700 58.2 2.9 0.72 12 2 2.9 1.1 0.03
800 66.7 3.3 0.62 12 2 3.3 1.3 0.04
900 75.3 3.7 0.55 12 2 3.7 1.5 0.04
1000 84.0 4.2 0.50 11 2 4.2 1.6 0.05
1100 92.8 4.6 0.45 11 2 4.6 1.8 0.05
1200 101.6 5.0 0.41 11 2 5.0 2.0 0.06
1300 110.5 5.4 0.38 11 3 5.4 2.2 0.06
1400 119.5 5.9 0.35 11 3 5.9 2.3 0.07
1500 128.6 6.3 0.33 11 3 6.3 2.5 0.07
1600 137.8 6.8 0.31 11 3 6.8 2.7 0.07
1700 147.0 7.2 0.29 11 3 7.2 2.9 0.08
1800 156.4 7.7 0.27 11 4 7.7 3.1 0.08
1900 165.9 8.1 0.26 10 4 8.1 3.3 0.09
2000 175.5 8.6 0.24 10 4 8.6 3.5 0.09
2100 185.2 9.0 0.23 10 4 9.0 3.7 0.10
2200 195.1 9.5 0.22 10 5 9.5 3.9 0.10
2300 205.0 10.0 0.21 10 5 10.0 4.1 0.11
2400 215.2 10.5 0.20 10 5 10.5 4.3 0.11
2500 225.4 10.9 0.19 10 5 10.9 4.5 0.12
2600 235.8 11.4 0.18 10 6 11.4 4.8 0.12
2700 246.4 11.9 0.18 9 6 11.9 5.0 0.13
2800 257.2 12.4 0.17 9 6 12.4 5.2 0.13
2900 268.1 12.9 0.16 9 7 12.9 5.5 0.14
3000 279.3 13.4 0.16 9 7 13.4 5.7 0.15
3100 290.7 14.0 0.15 9 7 14.0 6.0 0.15
3200 302.3 14.5 0.14 9 8 14.5 6.3 0.16
3300 314.1 15.0 0.14 8 8 15.0 6.5 0.16
3400 326.2 15.6 0.13 8 9 15.6 6.8 0.17
3500 338.6 16.1 0.13 8 9 16.1 7.1 0.17
}

@ds_m795v791.dat
