{
M795 PD M739A1 MV 791 m/s p337
}

R AngMil Fuse DFS DR FORK Time AZ_drift AZ_CW
-----------------------------------
#1000 8.3 0 0 115 1 1.3 0.4 0.02
#5000 51.0 7.6 0.28 77 1 7.6 2.4 0.13
#10000 138.3 18.8 0.12 43 3 18.8 6.4 0.32
#15000 291.3 35.0 0.06 26 6 35.0 12.2 0.53
22200 784.4 76.9 0.03 0 0 76.9 31.0 0.85
#15000 1232.1 107.5 0.03 47 0 107.5 156.5 2.05

{
R AngMil Fuse DFS DR FORK Time AZ_drift AZ_CW
-----------------------------------
100 0.8 0 0 125 1 0.1 0.0 0.00
200 1.7 0 0 124 1 0.3 0.1 0.00
300 2.4 0 0 123 1 0.4 0.1 0.01
400 3.2 0 0 122 1 0.5 0.2 0.01
500 4.1 0 0 121 1 0.6 0.2 0.01
600 4.9 0 0 119 1 0.8 0.2 0.01
700 5.8 0 0 118 1 0.9 0.3 0.02
800 6.6 0 0 117 1 1.0 0.3 0.02
900 7.5 0 0 116 1 1.2 0.4 0.02
1000 8.3 0 0 115 1 1.3 0.4 0.02
1100 9.2 0 0 114 1 1.4 0.4 0.03
1200 10.1 0 0 113 1 1.6 0.5 0.03
1300 11.0 0 0 112 1 1.7 0.5 0.03
1400 11.9 0 0 111 1 1.9 0.6 0.03
1500 12.8 2.0 1.03 110 1 2.0 0.6 0.04
1600 13.7 2.1 0.96 109 1 2.1 0.6 0.04
1700 14.6 2.3 0.90 108 1 2.3 0.7 0.04
1800 15.5 2.4 0.85 107 1 2.4 0.7 0.04
1900 16.5 2.6 0.80 106 1 2.6 0.8 0.05
2000 17.4 2.7 0.76 105 1 2.7 0.8 0.05
2100 18.4 2.9 0.72 103 1 2.9 0.9 0.05
2200 19.4 3.0 0.69 102 1 3.0 0.9 0.05
2300 20.4 3.1 0.66 101 1 3.1 1.0 0.06
2400 21.3 3.3 0.63 100 1 3.3 1.0 0.06
2500 22.3 3.4 0.60 99 1 3.4 1.1 0.06
2600 23.4 3.6 0.58 99 1 3.6 1.1 0.06
2700 24.4 3.7 0.55 98 1 3.7 1.2 0.07
2800 25.4 3.9 0.53 97 1 3.9 1.2 0.07
2900 26.4 4.1 0.51 96 1 4.1 1.3 0.07
3000 27.5 4.2 0.50 95 1 4.2 1.3 0.07
3100 28.6 4.4 0.48 94 1 4.4 1.4 0.08
3200 29.6 4.5 0.46 93 1 4.5 1.4 0.08
3300 30.7 4.7 0.45 92 1 4.7 1.5 0.08
3400 31.8 4.8 0.43 91 1 4.8 1.5 0.09
3500 32.9 5.0 0.42 90 1 5.0 1.6 0.09
3600 34.0 5.2 0.41 89 1 5.2 1.6 0.09
3700 35.2 5.3 0.39 88 1 5.3 1.7 0.09
3800 36.3 5.5 0.38 87 1 5.5 1.7 0.10
3900 37.5 5.7 0.37 86 1 5.7 1.8 0.10
4000 38.6 5.8 0.36 85 1 5.8 1.8 0.10
4100 39.8 6.0 0.35 84 1 6.0 1.9 0.11
4200 41.0 6.2 0.34 84 1 6.2 1.9 0.11
4300 42.2 6.3 0.33 83 1 6.3 2.0 0.11
4400 43.4 6.5 0.33 82 1 6.5 2.1 0.11
4500 44.6 6.7 0.32 81 1 6.7 2.1 0.12
