R AngMil Time DR topR topH Vf Fall R0
--------------------------------------------------
100 0.3 0.072 0.0 50 0.0 1386.1 0.3 100
200 0.5 0.144 0.0 100 0.0 1372.3 0.5 200
300 0.8 0.218 0.0 151 0.1 1358.5 0.8 300
400 1.0 0.292 0.0 201 0.1 1344.8 1.1 400
500 1.3 0.366 0.0 252 0.2 1331.2 1.4 500
600 1.6 0.442 0.0 303 0.2 1317.7 1.7 600
700 1.9 0.518 0.0 354 0.3 1304.2 2.0 700
800 2.2 0.595 0.0 405 0.4 1290.8 2.3 800
900 2.4 0.673 0.1 457 0.6 1277.5 2.6 900
1000 2.7 0.752 0.1 508 0.7 1264.3 2.9 1000
1100 3.0 0.831 0.1 560 0.9 1251.1 3.3 1100
1200 3.3 0.912 0.1 612 1.0 1238.0 3.6 1200
1300 3.6 0.993 0.1 664 1.2 1225.0 4.0 1300
1400 3.9 1.075 0.1 717 1.4 1212.0 4.3 1400
1500 4.2 1.158 0.1 769 1.7 1199.2 4.7 1500
1600 4.6 1.242 0.1 822 1.9 1186.4 5.1 1600
1700 4.9 1.326 0.1 875 2.2 1173.7 5.5 1700
1800 5.2 1.412 0.1 928 2.5 1161.0 5.9 1800
1900 5.5 1.499 0.1 981 2.8 1148.5 6.3 1900
2000 5.9 1.586 0.1 1035 3.1 1136.0 6.7 2000
2100 6.2 1.675 0.1 1088 3.5 1123.7 7.2 2100
2200 6.6 1.764 0.1 1142 3.8 1111.3 7.6 2200
2300 6.9 1.855 0.2 1196 4.2 1099.1 8.1 2300
2400 7.3 1.946 0.2 1251 4.7 1086.8 8.6 2400
2500 7.6 2.039 0.2 1305 5.1 1074.7 9.1 2500
2600 8.0 2.132 0.2 1360 5.6 1062.5 9.6 2600
2700 8.4 2.227 0.2 1415 6.1 1050.2 10.1 2700
2800 8.7 2.323 0.2 1470 6.7 1037.5 10.7 2800
2900 9.1 2.420 0.2 1525 7.2 1024.5 11.2 2900
3000 9.5 2.518 0.2 1580 7.8 1011.4 11.8 3000
3100 9.9 2.617 0.2 1636 8.4 998.4 12.4 3100
3200 10.3 2.718 0.2 1692 9.1 985.3 13.0 3200
3300 10.7 2.820 0.2 1748 9.8 972.2 13.6 3300
3400 11.1 2.924 0.3 1805 10.5 959.2 14.3 3400
3500 11.6 3.029 0.3 1861 11.3 946.2 15.0 3500
3600 12.0 3.135 0.3 1918 12.1 933.2 15.7 3600
3700 12.4 3.243 0.3 1976 12.9 920.3 16.4 3700
3800 12.9 3.353 0.3 2033 13.8 907.4 17.1 3800
3900 13.3 3.464 0.3 2091 14.7 894.6 17.9 3900
4000 13.8 3.576 0.3 2150 15.7 881.8 18.7 4000
4100 14.3 3.690 0.3 2208 16.7 869.0 19.5 4100
4200 14.7 3.806 0.4 2267 17.8 856.4 20.4 4200
4300 15.2 3.924 0.4 2327 18.9 843.7 21.3 4300
4400 15.7 4.043 0.4 2386 20.1 831.1 22.2 4400
4500 16.2 4.165 0.4 2446 21.3 818.6 23.2 4500
